,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
214,-5.864091,-43.032272999999996,Cerrado,13470911.420742234,0.0,0.0,1.0
215,-5.87,-47.35,Cerrado,1224624.4380085126,0.0,0.0,1.0
216,-5.87,-46.14,Cerrado,1224624.4380074174,0.0,0.0,1.0
217,-5.82625,-44.15375,Cerrado,110224897.26681426,0.0,0.0,1.0
218,-5.887727,-43.773182,Cerrado,11021341.352944953,0.0,0.0,1.0
219,-5.876429,-46.125,Cerrado,3673830.4933000887,0.0,0.0,1.0
220,-5.88,-43.965,Cerrado,2449206.055290481,0.0,0.0,1.0
221,-5.88,-43.735,Cerrado,2449206.055290481,0.0,0.0,1.0
222,-5.88,-43.48,Cerrado,1224603.0276452405,0.0,0.0,1.0
223,-5.88,-43.325,Cerrado,2449206.055290481,0.0,0.0,1.0
224,-5.89,-46.145,Cerrado,2449163.161875303,0.0,0.0,1.0
225,-5.89,-43.98,Cerrado,1224581.5809376515,0.0,0.0,1.0
226,-5.89,-43.95,Cerrado,1224581.5809376515,0.0,0.0,1.0
227,-5.895,-43.46,Cerrado,2449141.678821206,0.0,0.0,1.0
228,-5.896429,-46.175,Cerrado,3673701.7767003807,0.0,0.0,1.0
229,-5.892059,-43.398528999999996,Cerrado,14694849.92753464,0.0,0.0,1.0
230,-5.907222,-46.916111,Cerrado,8571791.496086061,0.0,0.0,1.0
231,-5.91,-46.1,Cerrado,1224538.5784829515,0.0,0.0,1.0
232,-5.906429,-43.805,Cerrado,3673637.2548439824,0.0,0.0,1.0
233,-5.91,-43.45,Cerrado,1224538.5784818565,0.0,0.0,1.0
234,-5.91,-42.68,Cerrado,1224538.5784829515,0.0,0.0,1.0
235,-5.92,-46.16,Cerrado,1224517.0227380316,0.0,0.0,1.0
236,-5.92,-42.67,Cerrado,1224517.0227391268,0.0,0.0,1.0
237,-5.9170000000000025,-44.108999999999995,Cerrado,9796157.592275193,0.0,0.0,1.0
238,-5.922143,-45.625,Cerrado,18367517.31929581,0.0,0.0,1.0
239,-5.93,-46.17,Cerrado,1224495.43064989,0.0,0.0,1.0
240,-5.950556,-46.063889,Cerrado,20815815.852742504,0.0,0.0,1.0
241,-5.925,-45.75,Cerrado,9796049.81355059,0.0,0.0,1.0
242,-5.93,-45.73,Cerrado,1224495.43064989,0.0,0.0,1.0
243,-5.93,-45.05,Cerrado,1224495.430650985,0.0,0.0,1.0
